invoice_id,date,branch,city,customer_type,gender,product,category,quantity,unit_price,payment,rating,sales,sales_calculated,sales_difference
INV0001,2026-06-01,A,Jaipur,Member,Male,Milk,Dairy,4,57.13,UPI,3.8,228.52,228.52,0.0
INV0002,2026-02-26,A,Jaipur,Normal,Male,Rice,Grocery,9,66.85,Net Banking,3.9,601.65,601.65,0.0
INV0003,2026-02-09,C,Mumbai,Normal,Female,Milk,Dairy,3,57.28,Card,3.4,171.84,171.84,0.0
INV0004,2026-01-12,C,Mumbai,Member,Female,Shampoo,Personal Care,2,168.27,Card,4.5,336.54,336.54,0.0
INV0005,2026-06-30,A,Jaipur,Normal,Female,Apples,Fruits,5,130.57,Cash,3.1,652.85,652.8499999999999,1.1368683772161603e-13
INV0006,2026-04-27,B,Delhi,Normal,Female,Soap,Personal Care,4,48.49,Card,4.3,193.96,193.96,0.0
INV0007,2026-05-17,C,Mumbai,Normal,Male,Cooking Oil,Grocery,4,146.88,Cash,4.5,587.52,587.52,0.0
INV0008,2026-02-28,B,Delhi,Member,Female,Potato,Vegetables,9,34.32,UPI,4.6,308.88,308.88,0.0
INV0009,2026-06-17,C,Mumbai,Normal,Female,Apples,Fruits,4,134.8,Cash,4.0,539.2,539.2,0.0
INV0010,2026-05-30,D,Bengaluru,Normal,Female,Biscuits,Snacks,4,28.87,Net Banking,3.8,115.48,115.48,0.0
INV0011,2026-06-10,B,Delhi,Normal,Male,Biscuits,Snacks,2,30.05,Cash,3.3,60.1,60.1,0.0
INV0012,2026-05-22,D,Bengaluru,Member,Female,Chips,Snacks,7,32.56,Card,4.7,227.92,227.92000000000002,2.842170943040401e-14
INV0013,2026-03-17,A,Jaipur,Normal,Female,Shampoo,Personal Care,9,185.23,UPI,3.9,1667.07,1667.07,0.0
INV0014,2026-06-10,D,Bengaluru,Normal,Male,Milk,Dairy,5,58.99,UPI,3.6,294.95,294.95,0.0
INV0015,2026-05-06,B,Delhi,Member,Male,Biscuits,Snacks,3,29.39,Card,3.0,88.17,88.17,0.0
INV0016,2026-05-05,C,Mumbai,Normal,Male,Soap,Personal Care,4,43.12,UPI,4.6,172.48,172.48,0.0
INV0017,2026-05-19,B,Delhi,Member,Female,Biscuits,Snacks,9,30.77,Cash,4.5,276.93,276.93,0.0
INV0018,2026-03-05,B,Delhi,Member,Female,Soap,Personal Care,6,44.27,UPI,3.4,265.62,265.62,0.0
INV0019,2026-07-01,C,Mumbai,Member,Male,Milk,Dairy,4,55.78,UPI,4.3,223.12,223.12,0.0
INV0020,2026-06-21,B,Delhi,Member,Male,Rice,Grocery,6,74.54,Card,4.0,447.24,447.24,0.0
INV0021,2026-01-25,B,Delhi,Normal,Female,Cold Drink,Beverages,4,65.79,Cash,3.2,263.16,263.16,0.0
INV0022,2026-01-16,D,Bengaluru,Normal,Male,Coffee,Beverages,8,177.8,UPI,3.8,1422.4,1422.4,0.0
INV0023,2026-02-16,C,Mumbai,Member,Male,Shampoo,Personal Care,4,172.76,Net Banking,3.6,691.04,691.04,0.0
INV0024,2026-03-02,B,Delhi,Member,Male,Rice,Grocery,9,69.36,UPI,3.3,624.24,624.24,0.0
INV0025,2026-01-01,D,Bengaluru,Normal,Male,Tomato,Vegetables,7,42.94,Net Banking,5.0,300.58,300.58,0.0
INV0026,2026-02-18,C,Mumbai,Normal,Female,Potato,Vegetables,9,33.8,Cash,3.6,304.2,304.2,0.0
INV0027,2026-05-30,A,Jaipur,Normal,Male,Cold Drink,Beverages,1,67.45,UPI,4.0,67.45,67.45,0.0
INV0028,2026-06-22,B,Delhi,Normal,Male,Bread,Bakery,2,42.95,UPI,4.7,85.9,85.9,0.0
INV0029,2026-04-18,D,Bengaluru,Member,Male,Shampoo,Personal Care,10,192.72,UPI,4.3,1927.2,1927.2,0.0
INV0030,2026-06-21,C,Mumbai,Member,Female,Face Wash,Personal Care,6,114.32,Cash,4.3,685.92,685.92,0.0
INV0031,2026-05-18,D,Bengaluru,Member,Male,Tea,Beverages,2,128.24,UPI,3.4,256.48,256.48,0.0
INV0032,2026-02-10,C,Mumbai,Normal,Female,Biscuits,Snacks,2,32.08,Card,3.9,64.16,64.16,0.0
INV0033,2026-02-04,C,Mumbai,Member,Female,Chips,Snacks,9,37.71,UPI,3.5,339.39,339.39,0.0
INV0034,2026-06-25,A,Jaipur,Normal,Female,Noodles,Grocery,5,51.97,Cash,4.3,259.85,259.85,0.0
INV0035,2026-01-12,C,Mumbai,Member,Female,Cheese,Dairy,1,219.6,Card,3.0,219.6,219.6,0.0
INV0036,2026-01-29,B,Delhi,Member,Female,Face Wash,Personal Care,8,113.5,UPI,3.2,908.0,908.0,0.0
INV0037,2026-02-02,B,Delhi,Member,Male,Noodles,Grocery,6,50.92,Net Banking,3.1,305.52,305.52,0.0
INV0038,2026-05-24,C,Mumbai,Normal,Male,Bread,Bakery,4,42.55,Card,4.8,170.2,170.2,0.0
INV0039,2026-01-07,D,Bengaluru,Normal,Male,Chips,Snacks,4,36.4,Net Banking,3.4,145.6,145.6,0.0
INV0040,2026-01-10,C,Mumbai,Member,Male,Bananas,Fruits,4,62.9,Net Banking,4.7,251.6,251.6,0.0
INV0041,2026-01-07,B,Delhi,Member,Male,Chocolate,Snacks,8,52.53,Cash,4.3,420.24,420.24,0.0
INV0042,2026-06-14,D,Bengaluru,Normal,Female,Tea,Beverages,2,115.75,Card,4.0,231.5,231.5,0.0
INV0043,2026-01-28,C,Mumbai,Member,Female,Milk,Dairy,5,51.62,UPI,4.2,258.1,258.09999999999997,5.684341886080802e-14
INV0044,2026-01-12,C,Mumbai,Member,Male,Tea,Beverages,9,118.78,Card,4.4,1069.02,1069.02,0.0
INV0045,2026-04-21,A,Jaipur,Normal,Male,Cheese,Dairy,9,234.98,Card,3.1,2114.82,2114.8199999999997,4.547473508864641e-13
INV0046,2026-06-20,C,Mumbai,Normal,Female,Chips,Snacks,2,33.96,Card,3.8,67.92,67.92,0.0
INV0047,2026-06-07,D,Bengaluru,Member,Female,Soap,Personal Care,4,45.39,Cash,4.1,181.56,181.56,0.0
INV0048,2026-04-30,D,Bengaluru,Member,Female,Noodles,Grocery,5,57.94,Card,3.9,289.7,289.7,0.0
INV0049,2026-01-24,B,Delhi,Normal,Female,Cheese,Dairy,3,219.06,Card,4.6,657.18,657.1800000000001,1.1368683772161603e-13
INV0050,2026-05-02,B,Delhi,Member,Male,Soap,Personal Care,4,43.02,Cash,4.2,172.08,172.08,0.0
INV0051,2026-04-13,A,Jaipur,Member,Female,Potato,Vegetables,10,34.52,Net Banking,3.5,345.2,345.20000000000005,5.684341886080802e-14
INV0052,2026-05-23,A,Jaipur,Member,Female,Shampoo,Personal Care,4,188.02,UPI,3.5,752.08,752.08,0.0
INV0053,2026-06-06,A,Jaipur,Normal,Female,Potato,Vegetables,8,32.95,Net Banking,4.6,263.6,263.6,0.0
INV0054,2026-03-08,D,Bengaluru,Normal,Female,Noodles,Grocery,3,54.52,Net Banking,4.5,163.56,163.56,0.0
INV0055,2026-03-02,C,Mumbai,Member,Male,Cheese,Dairy,4,219.46,Card,3.5,877.84,877.84,0.0
INV0056,2026-01-17,C,Mumbai,Member,Male,Noodles,Grocery,3,51.31,Cash,3.8,153.93,153.93,0.0
INV0057,2026-05-30,C,Mumbai,Member,Female,Noodles,Grocery,1,54.7,Net Banking,4.9,54.7,54.7,0.0
INV0058,2026-04-18,A,Jaipur,Normal,Female,Cold Drink,Beverages,1,63.76,Net Banking,4.1,63.76,63.76,0.0
INV0059,2026-06-21,B,Delhi,Member,Female,Tomato,Vegetables,7,42.98,Card,4.4,300.86,300.85999999999996,5.684341886080802e-14
INV0060,2026-06-01,D,Bengaluru,Normal,Male,Cooking Oil,Grocery,3,158.17,Net Banking,4.1,474.51,474.51,0.0
INV0061,2026-03-08,A,Jaipur,Normal,Male,Rice,Grocery,3,71.6,UPI,3.8,214.8,214.79999999999998,2.842170943040401e-14
INV0062,2026-01-21,B,Delhi,Member,Female,Potato,Vegetables,7,34.03,Card,3.9,238.21,238.21,0.0
INV0063,2026-03-05,A,Jaipur,Normal,Male,Coffee,Beverages,2,172.06,UPI,3.4,344.12,344.12,0.0
INV0064,2026-04-30,A,Jaipur,Member,Male,Chips,Snacks,3,33.05,Cash,4.4,99.15,99.14999999999999,1.4210854715202004e-14
INV0065,2026-01-28,C,Mumbai,Normal,Male,Cooking Oil,Grocery,2,152.54,Card,4.2,305.08,305.08,0.0
INV0066,2026-06-01,C,Mumbai,Member,Male,Cold Drink,Beverages,7,66.84,UPI,4.4,467.88,467.88,0.0
INV0067,2026-03-30,B,Delhi,Normal,Male,Shampoo,Personal Care,5,185.68,UPI,4.1,928.4,928.4000000000001,1.1368683772161603e-13
INV0068,2026-01-28,C,Mumbai,Member,Female,Rice,Grocery,6,70.07,Net Banking,3.9,420.42,420.41999999999996,5.684341886080802e-14
INV0069,2026-04-30,C,Mumbai,Member,Female,Potato,Vegetables,7,36.16,Net Banking,3.9,253.12,253.11999999999998,2.842170943040401e-14
INV0070,2026-04-29,C,Mumbai,Member,Female,Tea,Beverages,2,126.75,Cash,4.1,253.5,253.5,0.0
INV0071,2026-03-08,D,Bengaluru,Member,Male,Tea,Beverages,6,110.95,Card,3.7,665.7,665.7,0.0
INV0072,2026-05-23,C,Mumbai,Member,Female,Noodles,Grocery,4,50.69,Net Banking,4.5,202.76,202.76,0.0
INV0073,2026-06-27,D,Bengaluru,Member,Male,Tomato,Vegetables,1,44.63,Net Banking,3.5,44.63,44.63,0.0
INV0074,2026-06-29,C,Mumbai,Member,Female,Tomato,Vegetables,6,45.39,Card,3.9,272.34,272.34000000000003,5.684341886080802e-14
INV0075,2026-02-25,C,Mumbai,Member,Male,Face Wash,Personal Care,4,114.83,Cash,4.5,459.32,459.32,0.0
INV0076,2026-03-17,C,Mumbai,Member,Male,Cold Drink,Beverages,9,69.96,Cash,3.5,629.64,629.64,0.0
INV0077,2026-05-22,B,Delhi,Member,Male,Soap,Personal Care,9,41.5,UPI,3.6,373.5,373.5,0.0
INV0078,2026-04-23,B,Delhi,Member,Female,Tomato,Vegetables,1,42.14,Net Banking,3.7,42.14,42.14,0.0
INV0079,2026-05-06,A,Jaipur,Member,Male,Face Wash,Personal Care,8,128.47,Net Banking,3.1,1027.76,1027.76,0.0
INV0080,2026-01-31,A,Jaipur,Normal,Male,Biscuits,Snacks,10,28.32,Cash,4.1,283.2,283.2,0.0
INV0081,2026-04-24,D,Bengaluru,Member,Female,Chips,Snacks,10,35.54,Net Banking,3.6,355.4,355.4,0.0
INV0082,2026-06-10,D,Bengaluru,Normal,Male,Soap,Personal Care,1,45.49,Cash,3.4,45.49,45.49,0.0
INV0083,2026-04-26,A,Jaipur,Member,Male,Cooking Oil,Grocery,9,143.76,Net Banking,4.4,1293.84,1293.84,0.0
INV0084,2026-06-25,D,Bengaluru,Normal,Female,Soap,Personal Care,5,41.64,UPI,3.5,208.2,208.2,0.0
INV0085,2026-03-10,C,Mumbai,Member,Male,Cold Drink,Beverages,4,66.68,Cash,4.7,266.72,266.72,0.0
INV0086,2026-02-01,A,Jaipur,Member,Female,Bread,Bakery,5,37.86,Net Banking,3.9,189.3,189.3,0.0
INV0087,2026-06-03,C,Mumbai,Member,Female,Apples,Fruits,9,149.92,UPI,3.1,1349.28,1349.28,0.0
INV0088,2026-05-28,D,Bengaluru,Member,Male,Tea,Beverages,1,121.99,Card,3.1,121.99,121.99,0.0
INV0089,2026-06-12,B,Delhi,Normal,Male,Tomato,Vegetables,8,45.14,Net Banking,4.6,361.12,361.12,0.0
INV0090,2026-03-26,A,Jaipur,Member,Male,Tomato,Vegetables,6,43.91,Cash,3.8,263.46,263.46,0.0
INV0091,2026-01-23,D,Bengaluru,Normal,Male,Soap,Personal Care,7,46.17,Net Banking,3.6,323.19,323.19,0.0
INV0092,2026-04-16,C,Mumbai,Normal,Male,Shampoo,Personal Care,7,193.54,Net Banking,3.1,1354.78,1354.78,0.0
INV0093,2026-05-21,C,Mumbai,Normal,Male,Chips,Snacks,8,36.44,Card,3.3,291.52,291.52,0.0
INV0094,2026-03-21,C,Mumbai,Member,Male,Potato,Vegetables,8,37.13,Cash,4.1,297.04,297.04,0.0
INV0095,2026-05-08,D,Bengaluru,Member,Male,Rice,Grocery,2,66.92,Cash,4.9,133.84,133.84,0.0
INV0096,2026-04-27,C,Mumbai,Normal,Female,Cheese,Dairy,7,227.23,Cash,4.1,1590.61,1590.61,0.0
INV0097,2026-03-12,D,Bengaluru,Normal,Male,Chocolate,Snacks,9,53.37,UPI,4.5,480.33,480.33,0.0
INV0098,2026-03-18,D,Bengaluru,Member,Male,Tea,Beverages,9,128.34,Card,4.7,1155.06,1155.06,0.0
INV0099,2026-03-24,D,Bengaluru,Member,Female,Biscuits,Snacks,8,29.74,Net Banking,4.7,237.92,237.92,0.0
INV0100,2026-04-09,B,Delhi,Member,Female,Cold Drink,Beverages,7,63.78,Net Banking,5.0,446.46,446.46000000000004,5.684341886080802e-14
INV0101,2026-04-23,B,Delhi,Member,Female,Tomato,Vegetables,3,48.35,UPI,3.2,145.05,145.05,0.0
INV0102,2026-05-01,D,Bengaluru,Normal,Male,Milk,Dairy,7,56.96,UPI,4.6,398.72,398.72,0.0
INV0103,2026-03-23,C,Mumbai,Normal,Female,Tea,Beverages,7,122.37,Net Banking,4.3,856.59,856.59,0.0
INV0104,2026-01-24,D,Bengaluru,Member,Female,Noodles,Grocery,2,50.92,Cash,3.9,101.84,101.84,0.0
INV0105,2026-01-15,A,Jaipur,Normal,Male,Shampoo,Personal Care,5,178.38,Card,3.6,891.9,891.9,0.0
INV0106,2026-02-14,C,Mumbai,Member,Male,Bananas,Fruits,9,56.6,Cash,3.2,509.4,509.40000000000003,5.684341886080802e-14
INV0107,2026-04-29,D,Bengaluru,Normal,Male,Chips,Snacks,8,36.03,Cash,4.3,288.24,288.24,0.0
INV0108,2026-04-24,D,Bengaluru,Normal,Male,Face Wash,Personal Care,8,123.2,UPI,4.9,985.6,985.6,0.0
INV0109,2026-05-04,C,Mumbai,Normal,Male,Bananas,Fruits,8,61.83,Net Banking,3.2,494.64,494.64,0.0
INV0110,2026-06-18,D,Bengaluru,Normal,Female,Cold Drink,Beverages,5,63.53,UPI,3.8,317.65,317.65,0.0
INV0111,2026-02-28,A,Jaipur,Normal,Female,Cold Drink,Beverages,1,68.8,Card,4.2,68.8,68.8,0.0
INV0112,2026-06-10,C,Mumbai,Member,Male,Eggs,Dairy,10,91.97,UPI,4.3,919.7,919.7,0.0
INV0113,2026-03-25,C,Mumbai,Normal,Male,Potato,Vegetables,6,32.39,Card,4.5,194.34,194.34,0.0
INV0114,2026-02-12,B,Delhi,Normal,Female,Chocolate,Snacks,9,47.06,Card,3.5,423.54,423.54,0.0
INV0115,2026-02-06,D,Bengaluru,Normal,Female,Soap,Personal Care,6,46.78,UPI,4.5,280.68,280.68,0.0
INV0116,2026-03-09,B,Delhi,Member,Female,Apples,Fruits,9,150.47,UPI,4.1,1354.23,1354.23,0.0
INV0117,2026-06-22,D,Bengaluru,Member,Female,Coffee,Beverages,5,184.98,UPI,3.5,924.9,924.9,0.0
INV0118,2026-06-12,A,Jaipur,Member,Male,Chips,Snacks,9,37.15,UPI,4.6,334.35,334.34999999999997,5.684341886080802e-14
INV0119,2026-01-30,C,Mumbai,Normal,Female,Bananas,Fruits,1,56.32,Net Banking,3.2,56.32,56.32,0.0
INV0120,2026-06-17,B,Delhi,Member,Male,Apples,Fruits,9,138.96,Net Banking,3.2,1250.64,1250.64,0.0
